date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:07	133328/133328	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2021:34:55%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/index.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/index.html	(from )
10:35:07	528/528	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jun%202026%2015:35:07%20GMT	https://livedemo00.template-help.com/robots.txt		(from )
10:35:07	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2265c3910c-47e%22	https://livedemo00.template-help.com/wt_prod-10492/theme/images/favicon.ico	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/images/favicon.ico	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:07	260381/260381	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202026%2021:34:14%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/css/bootstrap.css	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/css/bootstrap.css	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:08	122750/122750	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202026%2021:34:14%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/css/fonts.css	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/css/fonts.css	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:08	368939/368939	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202026%2021:34:30%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/css/style.css	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/css/style.css	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:08	5286/5286	---M--	200	added ('OK')	image/png	etag:%2265c39123-1515%22	https://livedemo00.template-help.com/wt_prod-10492/theme/images/logo-default-280x92.png	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/images/logo-default-280x92.png	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:08	5344/5344	---M--	200	added ('OK')	image/png	etag:%2265c39129-154f%22	https://livedemo00.template-help.com/wt_prod-10492/theme/images/logo-inverse-280x92.png	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/images/logo-inverse-280x92.png	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:09	113240/113240	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:09%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/smoothie-shop.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/smoothie-shop.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:09	143045/143045	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:09%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/fruit-farm.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/fruit-farm.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:09	128197/128197	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2021:34:14%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/poultry-farm.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/poultry-farm.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:09	73453/73453	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:09%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/winery.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/winery.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:10	99613/99613	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:10%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/dairy-farm.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/dairy-farm.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:10	47826/47826	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:10%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/about-us.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/about-us.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:10	41187/41187	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:10%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/what-we-offer.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/what-we-offer.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:10	34939/34939	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:10%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/our-team.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/our-team.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:11	33154/33154	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:11%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/testimonials.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/testimonials.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:11	29112/29112	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:11%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/pricing-list.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/pricing-list.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:11	30471/30471	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2014:34:53%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/grid-blog.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/grid-blog.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:11	34401/34401	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:11%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/blog-list.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/blog-list.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:12	41174/41174	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:12%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/blog-post.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/blog-post.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:12	33076/33076	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2021:35:51%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/grid-gallery.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/grid-gallery.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
10:35:12	31646/31646	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202026%2015:35:12%20GMT	https://livedemo00.template-help.com/wt_prod-10492/theme/grid-fullwidth-gallery.html	C:/Users/super/OneDrive/Escritorio/httt/livedemo00.template-help.com/wt_prod-10492/theme/grid-fullwidth-gallery.html	(from https://livedemo00.template-help.com/wt_prod-10492/theme/index.html)
